sleeper ID,player,yr 1,probability 1st outcome,yr 2+ 1st outcome position rank,probability 2nd outcome,yr 2+ 2nd outcome position rank
,Bub Means,168.5,80%,168.5,20%,168.5
10218,Xavier Hutchinson,168.5,80%,168.5,20%,168.5
,Demarcus Robinson,168.5,80%,168.5,20%,168.5
,JuJu Smith-Schuster,168.5,80%,168.5,20%,168.5
,Marquez Valdes-Scantling,168.5,80%,168.5,20%,168.5
,Dyami Brown,168.5,80%,168.5,20%,168.5
8917,KaVontae Turpin,168.5,80%,168.5,20%,168.5
8135,Treylon Burks,168.5,80%,168.5,20%,168.5
,Brenden Rice,168.5,80%,168.5,20%,168.5
,Lil'Jordan Humphrey,168.5,80%,168.5,20%,168.5
,David Moore,168.5,80%,168.5,20%,168.5
5185,Allen Lazard,168.5,80%,168.5,20%,168.5
,Xavier Gipson,168.5,80%,168.5,20%,168.5
,Johnny Wilson,168.5,80%,168.5,20%,168.5
11895,Mason Tipton,168.5,80%,168.5,20%,168.5
,Tyler Johnson,168.5,80%,168.5,20%,168.5
,Tahj Washington,168.5,80%,168.5,20%,168.5
,Tylan Wallace,168.5,80%,168.5,20%,168.5
,Mecole Hardman,168.5,80%,168.5,20%,168.5
,Josh Reynolds,168.5,80%,168.5,20%,168.5
,Sterling Shepard,168.5,80%,168.5,20%,168.5
,Jamari Thrash,168.5,80%,168.5,20%,168.5
,Rakim Jarrett,168.5,80%,168.5,20%,168.5
,Jake Bobo,168.5,80%,168.5,20%,168.5
,Tim Patrick,168.5,80%,168.5,20%,168.5
,K.J. Osborn,168.5,80%,168.5,20%,168.5
,Van Jefferson,168.5,80%,168.5,20%,168.5
,Zay Jones,168.5,80%,168.5,20%,168.5
6271,Olamide Zaccheaus,168.5,80%,168.5,20%,168.5
,DJ Chark,168.5,80%,168.5,20%,168.5
,David Bell,168.5,80%,168.5,20%,168.5
4177,Mack Hollins,168.5,80%,168.5,20%,168.5
,Justin Watson,168.5,80%,168.5,20%,168.5
,Cedrick Wilson,168.5,80%,168.5,20%,168.5
,Tyler Scott,168.5,80%,168.5,20%,168.5
,KJ Hamler,168.5,80%,168.5,20%,168.5
,Isaiah Hodgins,168.5,80%,168.5,20%,168.5
8188,Tyquan Thornton,168.5,80%,168.5,20%,168.5
,DJ Turner,168.5,80%,168.5,20%,168.5
,Kalif Raymond,168.5,80%,168.5,20%,168.5
11783,Ryan Flournoy,168.5,80%,168.5,20%,168.5
,Skyy Moore,168.5,80%,168.5,20%,168.5
,Derius Davis,168.5,80%,168.5,20%,168.5
,Nelson Agholor,168.5,80%,168.5,20%,168.5
,Malik Heath,168.5,80%,168.5,20%,168.5
,Ronnie Bell,168.5,80%,168.5,20%,168.5
,Ashton Dulin,168.5,80%,168.5,20%,168.5
,Brandon Powell,168.5,80%,168.5,20%,168.5
,Jalen Reagor,168.5,80%,168.5,20%,168.5
,Laviska Shenault,168.5,80%,168.5,20%,168.5
,Terrace Marshall,168.5,80%,168.5,20%,168.5
,Charlie Jones,168.5,80%,168.5,20%,168.5
,Justyn Ross,168.5,80%,168.5,20%,168.5
,Devin Duvernay,168.5,80%,168.5,20%,168.5
,Justin Shorter,168.5,80%,168.5,20%,168.5
,Deven Thompkins,168.5,80%,168.5,20%,168.5
